visit_id,ship_id,name_as_written,date_from,date_to,date_confidence,anchorage,region,flag,flag_basis,purpose,outcome,visit_type,n_records,excerpt,citations,sources_disagree,status
,avon,Avon,1817,1817,year,San Pedro,alta,,,otter,arrived,port-call?,1,"[Ogden itinerary] Avon, 1817: San Pedro 1817","[{""type"": ""ogden"", ""ref"": ""Ogden 1941, appendix s.v. 'Avon, 1817'"", ""note"": ""sailing schedule: San Pedro 1817""}]",,draft
,avon,Avon,1817,1817,year,Santa Bárbara,alta,,,otter,arrived,port-call?,1,"[Ogden itinerary] Avon, 1817: Santa Bárbara 1817","[{""type"": ""ogden"", ""ref"": ""Ogden 1941, appendix s.v. 'Avon, 1817'"", ""note"": ""sailing schedule: Santa Bárbara 1817""}]",,draft
,bordeaux packet,Bordeaux Packet,1817,1817,year,Loreto,baja,,,otter,arrived,offshore-presence,1,"[Ogden itinerary] Bordeaux Packet, 1817: Loreto 1817","[{""type"": ""ogden"", ""ref"": ""Ogden 1941, appendix s.v. 'Bordeaux Packet, 1817'"", ""note"": ""sailing schedule: Loreto 1817""}]",,draft
,bordeaux packet,Bordeaux Packet,1817,1817,year,San Juan Capistrano,alta,,,otter,arrived,port-call?,1,"[Ogden itinerary] Bordeaux Packet, 1817: San Juan Capistrano 1817","[{""type"": ""ogden"", ""ref"": ""Ogden 1941, appendix s.v. 'Bordeaux Packet, 1817'"", ""note"": ""sailing schedule: San Juan Capistrano 1817""}]",,draft
,bordeaux packet,Bordeaux Packet,1817,1817,year,San Luis Obispo,alta,,,otter,arrived,port-call?,1,"[Ogden itinerary] Bordeaux Packet, 1817: San Luis Obispo 1817","[{""type"": ""ogden"", ""ref"": ""Ogden 1941, appendix s.v. 'Bordeaux Packet, 1817'"", ""note"": ""sailing schedule: San Luis Obispo 1817""}]",,draft
,chirtkov,Chirtkov,1817,1817,year,Bodega,alta,,,otter,arrived,port-call?,1,"[Ogden itinerary] Chirtkov, 1817: Bodega 1817","[{""type"": ""ogden"", ""ref"": ""Ogden 1941, appendix s.v. 'Chirtkov, 1817'"", ""note"": ""sailing schedule: Bodega 1817""}]",,draft
,chirtkov,Chirtkov,1817,1817,year,San Francisco,alta,,,otter,arrived,port-call?,1,"[Ogden itinerary] Chirtkov, 1817: San Francisco 1817","[{""type"": ""ogden"", ""ref"": ""Ogden 1941, appendix s.v. 'Chirtkov, 1817'"", ""note"": ""sailing schedule: San Francisco 1817""}]",,draft
,chirtkov,Chirtkov,1817,1817,year,Monterey,alta,,,otter,arrived,port-call?,1,"[Ogden itinerary] Chirtkov, 1817: Monterey 1817","[{""type"": ""ogden"", ""ref"": ""Ogden 1941, appendix s.v. 'Chirtkov, 1817'"", ""note"": ""sailing schedule: Monterey 1817""}]",,draft
,chirtkov,Chirtkov,1817,1817,year,Santa Bárbara,alta,,,otter,arrived,port-call?,1,"[Ogden itinerary] Chirtkov, 1817: Santa Bárbara 1817","[{""type"": ""ogden"", ""ref"": ""Ogden 1941, appendix s.v. 'Chirtkov, 1817'"", ""note"": ""sailing schedule: Santa Bárbara 1817""}]",,draft
,columbia,Columbia,1817,1817,year,Trinidad,alta,,,otter,arrived,port-call?,1,"[Ogden itinerary] Columbia, 1817: Trinidad 1817","[{""type"": ""ogden"", ""ref"": ""Ogden 1941, appendix s.v. 'Columbia, 1817'"", ""note"": ""sailing schedule: Trinidad 1817""}]",,draft
