ship_id,name_variants,flag_guess,first_seen,last_seen,n_visits,status
margarita,Margarita (2),spain,1831,1834,2,draft
maria,María (2),russia,1814,1834,2,draft
maria ester,María Ester (15); María Esther (3); Santa María Ester (1),spain,1826,1835,18,draft
mariquita,Mariquita (2),spain,1833,1834,2,draft
massachusetts,Massachusetts (1),usa,1827,1827,1,draft
matamoros,Matamoros (1),spain,1827,1827,1,draft
mentor,Mentor (2),usa,1823,1824,2,draft
mercedes,Mercedes (4),usa,1797,1801,4,draft
mercury,Mercurio (12); Mercury (2); MERCURIO (1),usa,1790,1826,14,draft
merope,Merope (1),usa,1825,1825,1,draft
mexicana,Mexicana (10),mexico,1791,1831,10,draft
morelos,Morelos (17),russia,1825,1834,17,draft
morison,Morison (1),,1840,1840,1,draft
moscow,Moscow (2),usa,1846,1846,2,draft
n.s. de la merced,N.S. de la Merced (1),,1797,1797,1,draft
natalia,Natalia (8),russia,1833,1835,8,draft
neptuno,Neptuno (1),spain,1820,1820,1,draft
net-siut,Net-siut (1),usa,1799,1799,1,draft
