visit_id,ship_id,name_as_written,date_from,date_to,date_confidence,anchorage,region,flag,flag_basis,purpose,outcome,visit_type,n_records,excerpt,citations,sources_disagree,status
,june,,1774,1774,year,San Francisco,alta,,,,,port-call?,1,"[HoC sweep] ties at San Carlos, where with the exception of two short periods of absence, he toiled until his death. From June to Au.sust 1774 he serv","[{""type"": ""hoc"", ""ref"": ""Bancroft, HoC I (narrative, 1774)"", ""note"": ""ties at San Carlos, where with the exception of two short periods of absence, he toiled until his death. From June to Au.sust 1774 he served""}]",,draft
,june,,1776,1776,year,San Diego,alta,,,,,port-call?,1,"[HoC sweep] , ii. 197; St. Pap., Miss, and Colon., MS., i. 1(5, 127; and investigations of Ortega and Rivera in April to June 1776, in Prov. St. Pap.,","[{""type"": ""hoc"", ""ref"": ""Bancroft, HoC I (narrative, 1776)"", ""note"": "", ii. 197; St. Pap., Miss, and Colon., MS., i. 1(5, 127; and investigations of Ortega and Rivera in April to June 1776, in Prov. St. Pap., B""}]",,draft
,june,,1776,1776,year,Santa Bárbara,alta,,,,,port-call?,1,"[HoC sweep] e are of adobe, though very unsubstantial; all the other structures are mere huts. Prov. Pec, MS., i. 142. On June 4th the governor notes ","[{""type"": ""hoc"", ""ref"": ""Bancroft, HoC I (narrative, 1776)"", ""note"": ""e are of adobe, though very unsubstantial; all the other structures are mere huts. Prov. Pec, MS., i. 142. On June 4th the governor notes th""}]",,draft
,june,,1778,1778,year,San Diego,alta,,,,,port-call?,1,[HoC sweep] unipero Serra. The patent with instructions came up on the Santiago and reached Serra's hands in the middle of June 1778. No time was lost,"[{""type"": ""hoc"", ""ref"": ""Bancroft, HoC I (narrative, 1778)"", ""note"": ""unipero Serra. The patent with instructions came up on the Santiago and reached Serra's hands in the middle of June 1778. No time was lost i""}]",,draft
,june,,1783,1783,year,San Diego,alta,,,,,port-call?,1,"[HoC sweep] ndulge in long correspondence on any occurrence that can possibly be made to appear like an Indian campaign.® «June 30, 1783, Fages to Pad","[{""type"": ""hoc"", ""ref"": ""Bancroft, HoC I (narrative, 1783)"", ""note"": ""ndulge in long correspondence on any occurrence that can possibly be made to appear like an Indian campaign.® «June 30, 1783, Fages to Padre""}]",,draft
,june,,1783,1783,year,San Francisco,alta,,,,,port-call?,1,"[HoC sweep]  17S0; Avila and Resales ap- pear here for the first time. This map in the archives is dated at San Francisco June 1, 17S2, and contains a","[{""type"": ""hoc"", ""ref"": ""Bancroft, HoC I (narrative, 1783)"", ""note"": "" 17S0; Avila and Resales ap- pear here for the first time. This map in the archives is dated at San Francisco June 1, 17S2, and contains a s""}]",,draft
,june,,1784,1784,year,San Diego,alta,,,,,port-call?,1,"[HoC sweep] st tour of confirmation in the south, during which he visited every mission from San Diego to San Antonio. In June he came home from a las","[{""type"": ""hoc"", ""ref"": ""Bancroft, HoC I (narrative, 1784)"", ""note"": ""st tour of confirmation in the south, during which he visited every mission from San Diego to San Antonio. In June he came home from a last ""}]",,draft
,june,,1784,1784,year,San Francisco,alta,,,,,port-call?,1,"[HoC sweep] siting all the establishments, and aniviug at home in January. Between the end of April and the early part of June 1784 he ^'isited San Fr","[{""type"": ""hoc"", ""ref"": ""Bancroft, HoC I (narrative, 1784)"", ""note"": ""siting all the establishments, and aniviug at home in January. Between the end of April and the early part of June 1784 he ^'isited San Fran""}]",,draft
,june,,1785,1785,year,San Diego,alta,,,,,port-call?,1,"[HoC sweep] r very frequent in all the missions, and particularly at San Carlos. Fages, 1783, in Prov. Pec, MS., iii. 87. June 11, 1785, Fages writes ","[{""type"": ""hoc"", ""ref"": ""Bancroft, HoC I (narrative, 1785)"", ""note"": ""r very frequent in all the missions, and particularly at San Carlos. Fages, 1783, in Prov. Pec, MS., iii. 87. June 11, 1785, Fages writes to""}]",,draft
,june,,1791,1791,year,Monterey,alta,,,,,port-call?,1,"[HoC sweep]  147. There are also communica- tions of Fages to Romeu on matters of trifling importance dated May SGth, 30th, June 1st, July 4th, 13th. ","[{""type"": ""hoc"", ""ref"": ""Bancroft, HoC I (narrative, 1791)"", ""note"": "" 147. There are also communica- tions of Fages to Romeu on matters of trifling importance dated May SGth, 30th, June 1st, July 4th, 13th. Id""}]",,draft
,june,,1791,1791,year,San Diego,alta,,,,,port-call?,1,"[HoC sweep] Ortega gave up his command on the frontier to Gtonzalez May 3d, left San Miguel in May, was at San Diego on June 5th, arrived at Santa Bir","[{""type"": ""hoc"", ""ref"": ""Bancroft, HoC I (narrative, 1791)"", ""note"": ""Ortega gave up his command on the frontier to Gtonzalez May 3d, left San Miguel in May, was at San Diego on June 5th, arrived at Santa Birba""}]",,draft
