ship,name,entry,date_from,date_to,conf,anchorage,offshore
mercury,Mercury,"Mercury, 1808-1809",1808,1808,year,San Diego,False
mercury,Mercury,"Mercury, 1808-1809",1808,1808,year,San Pedro,False
mercury,Mercury,"Mercury, 1808-1809",1808,1808,year,San Juan Capistrano,False
mercury,Mercury,"Mercury, 1809-1810",1809,1809,year,San Luis Obispo,False
mercury,Mercury,"Mercury, 1809-1810",1809,1809,year,Refugio,True
mercury,Mercury,"Mercury, 1809-1810",1809,1809,year,Santa Bárbara,False
mercury,Mercury,"Mercury, 1809-1810",1809,1809,year,San Quintín,False
albatross,Albatross,"Albatross, 1810",1810,1810,year,Trinidad,False
mercury,Mercury,"Mercury, 1810",1810,1810,year,San Quintín,False
albatross,Albatross,"Albatross, 1810-1811",1810,1810,year,San Luis Obispo,False
albatross,Albatross,"Albatross, 1810-1811",1810,1810,year,San Quintín,False
isabella,Isabella,"Isabella, 1810-1811",1810,1810,year,Bodega,False
o’cain,O’Cain,"O’Cain, 1810-1811",1809,1809,year,San Quintín,False
chirikov,Chirikov,"Chirikov, 1811",1811-06-20,1811-06-20,exact,Bodega,False
chirikov,Chirikov,"Chirikov, 1811-1812",1811,1811,year,Bodega,False
amethyst,Amethyst,"Amethyst, 1812",1812,1812,year,San Quintín,False
charon,Charon,"Charon, 1812",1812,1812,year,San Quintín,False
katherine,Katherine,"Katherine, 1812",1812,1812,year,San Quintín,False
mercury,Mercury,"Mercury, 1812",1812,1812,year,Bodega,False
mercury,Mercury,"Mercury, 1812",1812,1812,year,San Luis Obispo,False
mercury,Mercury,"Mercury, 1812",1812,1812,year,Refugio,True
mercury,Mercury,"Mercury, 1812",1812,1812,year,San Quintín,False
mercury,Mercury,"Mercury, 1812",1812,1812,year,San Quintín,False
mercury,Mercury,"Mercury, 1812",1812,1812,year,Refugio,False
mercury,Mercury,"Mercury, 1813",1813,1813,year,Bodega,False
mercury,Mercury,"Mercury, 1813",1813,1813,year,San Luis Obispo,False
mercury,Mercury,"Mercury, 1813",1813,1813,year,Santa Bárbara,False
forester,Forester,"Forester, 1814",1814,1814,year,Bodega,False
forester,Forester,"Forester, 1814",1814,1814,year,San Luis Obispo,False
forester,Forester,"Forester, 1814",1814,1814,year,Bodega,False
forester,Forester,"Forester, 1814",1814,1814,year,San Francisco,False
forester,Forester,"Forester, 1814",1814,1814,year,San Pedro,False
