ship_id,year,port,n_mentions,any_fulldate,status,hv,first_pos,snippet,triage,why
tagle,1803,San Diego,1,False,new-candidate,2,916,- tain Hubbell — Spanish Vessels — President and Bishop — Proposed Route to New Mexico — Proposed Colony of Perez de Tagle — Death of Pedro de Alberni— Troubles of the Friars — No Change in Mission System — Chaplains — M,weak-new,"known ship, undated narrative mention"
tagle,1813,,2,False,new-candidate,2,600823," was obtained from several different sources this year. The Lima trade began with the arrival of the Flora and Tagle, which brought up cargoes of cloth and miscellaneous goods to barter for tallow, hides, and other produ",weak-new,"known ship, undated narrative mention"
tagle,1813,Monterey,1,False,new-candidate,2,798141,"rtunities for contraband trade, and came to grief in the attempt.* Two Spanish vessels, Flora, Nicolds Noe, and Tagle, Anangua, were on the coast this year, having come up from Lima on a trading voyage,^ and the former h",weak-new,"known ship, undated narrative mention"
tagle,1814,,7,True,attach,2,604467," similar im- port from the president to the friars show^s that the epoch of controversy had not yet begun. The Tagle came back from Lima with a cargo of merchandise, and captured the American Pedler; but the capture did ",auto-attach,ship+year already in registry; HoC corroboration
tamaahmaah,1827,,1,False,new-candidate,2,2676379,"1. Elwell (Robert J.), 1827, nat. of Mass. who went to Honolulu in '23, and came to Cal. '27 as mr of the Tamaahmaah, and of the Washington in '28. ii. 573; iii. 149, 176-7. Often said to have come in '25 or earlier, and",auto-attach,ship+year already in registry; HoC corroboration
tasso,1844,,1,False,new-candidate,2,2449404," of the Wm Little, iii. 384. C. (J. B.), 1846, \ieut on the Savannah. C. (John), 1844, Amer. sailor from the Tasso; landed sick at S. D. iv. 453; sent to IMout. on the Admittance; aided by the consul, and shipped in '46.",weak-new,"known ship, undated narrative mention"
taule,1814,,1,False,new-candidate,2,2490540,", 176, 188, 196, 299, 388. Cavell (J.), 1848, passp. from Honolulu. Cavenecia (Jos6), 1814; master of the Lima ship Taule; of the S. Antonio in '17. ii. 222, 271, 282-3, 271. Cayuelas, 1790-1820, several of the name prob",noise,"unknown ship, undated mention"
thomas nowlan,1824,Monterey,1,True,new-candidate,2,1566901,"ec, pay- ing $/>34. Constnvcia, Colombia schooner from S. Bias; Zurrillaga, master; arrived at Mont. July 29th. Thomas Nowlan, from Lima; Wm. Clark, master; at S. F. in Aug. and Sept., paying §1,191. Mentor, American shi",strong-new,"known ship, dated HoC event, no existing row that year"
thos,1847,,1,False,new-candidate,2,2286118,"mate of the Jdveii Guipuzcoana. iv. 587; went from N.Y. to Valparaiso on sliip Zeuohia. From Val. to Mont, on brig Thos H. Benton in '47. Owner of Stockton Independent 'G5-75. Later U.S. storekeeper int. rev. at S.F. Ber",noise,"unknown ship, undated mention"
tomasa,1781,Monterey,1,True,new-candidate,2,302506," in the Monterey company. On April 23, 1781, Corporal Carrillo was married at San Carlos by Junipero Serra to Tomasa Ignacia, daughter of the soldier Fran- cisco Lugo. Arch. Arr.ob., MS., ii. 74. He served as a sergeant ",strong-new,"known ship, dated HoC event, no existing row that year"
tomasa,1796,,1,False,new-candidate,2,2494041," Cruz), son of Marcos, b. 1796 at S.F.; at S. Jos6 '41, wife Mdxima Vasquez, child. Jos6 de la Cruz b. '24, Tomasa '30, Soledad '35, Juana '37, Nemesio '41. C. (Luis), son of Marcos; sindico of S. Jos6 '31, '35, '43. iii",weak-new,"known ship, undated narrative mention"
tomasa,1809,Loreto,1,False,new-candidate,2,2438908,"heir connection by marriage with so many of the best families, both native and pioneer. The captain's wife was Tomasa Ignacia Lugo; his sons and some of his grandsons are named in these pages; his only daughter, Maria An",weak-new,"known ship, undated narrative mention"
tomasa,1812,Refugio,1,False,new-candidate,2,2681374,"over, ii. 520; sindico at Mont. '30. ii. 612;. alcalde '33, '36-7; iii. 673-5; in '36 at Mont., age 39, wife Tomasa Garcia, child. Agustin b. '17, Juan '22, JoFefa '23, Jos(§ jNIaria '26, Nicolas Antonio '27, Jacoba '29,",weak-new,"known ship, undated narrative mention"
tomasa,1816,,1,True,new-candidate,2,304550," the gov- ernor on Dec. 19, 1809. Prov. St. Pap., MS., xix. 261. July 13, 1816, the viceroy decides that Dona Tomasa, the widow, was entitled to the montepio miUtar, since her marriage had been with royal permission. Id.",strong-new,"known ship, dated HoC event, no existing row that year"
tomasa,1830,,2,False,new-candidate,2,1651984,"y 1830 there had been added 7 more, including those of Juan Rodriguez, Jos6 Antonio Es- tudillo, Juan Bandini, Tomasa Alvarado, Rosario Aguilar, the 'French bakery,' and part of the 'Seely house.' Judge Hayes' Memorabili",weak-new,"known ship, undated narrative mention"
tomasa,1846,,1,False,new-candidate,2,2576832," secularize S. Antonio, iii. 354, G87-8. In '36 C. was living at Mont., age 28, wife Nicolasa Velarde, child. Tomasa A. b. '19 at Tepic, Adelaida '32, Man- uel '33, Carolina '36; also vocal of the dip., taking part in a ",weak-new,"known ship, undated narrative mention"
tomasa,1847,,1,False,new-candidate,2,2294950,", Span. com. of the Valclcs, Adh-a, Araiizazu. i. 523-4, 540. Bertran (Luis), Mex. at Mont. '36, age 40, wife Tomasa Carrillo. Bertrand (Emile), 1847, Co. C, N.Y. Vol. (v. 499). Beston (Thos), 1847, at N. Helv., with fam",weak-new,"known ship, undated narrative mention"
triton,1825,,1,False,attach,2,2137963,"05, 729; ii. 2, 140. Albert (J. C), 1833, mr of whaler Isabel, iii. 382. Albet (Ibre), 1825-0, mr of whaler Triton, iii. 149. Albin (Charles), 1845, Amer. at Mont.; prob. same as Chas Albien, who got a lot at S. F. in '4",auto-attach,ship+year already in registry; HoC corroboration
union,1769,,1,False,new-candidate,1,613813," chai'ged them in the name of God, the king, and the viceroy to respect their priests and maintain peace and union among themselves. Finally Jum'pero Serra pronounced, a formal blessing on the pilgrims, their vessel, the",weak-new,"known ship, undated narrative mention"
union,1769,San Francisco,1,False,new-candidate,1,289707," Vioget (J. J.), Letters of an Early Trader. US. Virginia (Nov.), Evening Chronicle, Territorial Enterprise, Union. Visalia, Delta, Equal Rights Expositor, Iron Age, Tulare Index, Tulare Times. Vischer (Eduard), Briefe e",weak-new,"known ship, undated narrative mention"
union,1777,San Francisco,1,False,new-candidate,1,241816,"ie et dans I'Or^gon. Paris, 1854. Saint Helena, Star, Yosemite Assembly. Saint Louis (Mo. ), Globe, Reveille, Union. Sal (Hermenegildo), Cartas Miscelaneas, 1777-1800. MS. Sal (Hermenegildo), Informe. 31 de Euero 1790. J",weak-new,"known ship, undated narrative mention"
union,1778,San Diego,1,False,new-candidate,1,245369," Lauds of. Exceptions to Survey made by John C. Hays, July, 1858. San Francisco, 1869. San Diego, Bulletin, Union, World. San Diego City, Descriptive, Historical, Commercial, Agricultural, and other Important Information",weak-new,"known ship, undated narrative mention"
union,1794,,1,False,new-candidate,1,240988,"Free Press, CaUfomia Re- publican, Enterprise, Herald, Journal, Leader, News, Phoenix, Placer Times, Record, Record Union, Reporter, Rescue, Star, State C.-ipital Re- porter, State Fair Gazette, Sun, Transcript, Travelle",weak-new,"known ship, undated narrative mention"
union,1799,San Francisco,1,False,new-candidate,1,152786," Respuesta d las Quince Preguntas, 1799. MS. Grantsville, Weekly Sun. Grass Valley, Foot HiU Tidings, National, Union. Gray (A. B.), Resolution communicating report and map relative to Mex. Boundary. [3:ld Cong., 2d Sess",weak-new,"known ship, undated narrative mention"
